,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jamestown,42.097,-79.2353,21.0,68,90,6.91,US,1612829793
1,Bagotville,-28.9833,153.4167,78.8,50,53,17.27,AU,1612830030
2,Provideniya,64.3833,-173.3,6.8,78,75,20.13,RU,1612829817
3,San Cosme y Damián,-27.3167,-56.35,86.0,45,20,6.91,PY,1612830033
4,Ōdachō-ōda,35.1833,132.5,35.6,87,75,5.75,JP,1612830034
5,Pytalovo,57.0679,27.9138,5.63,95,100,7.2,RU,1612830035
6,Nikolskoye,59.7035,30.7861,6.01,85,90,4.47,RU,1612829997
7,Oktyabr'skoye,43.0645,44.7417,28.0,93,82,6.71,RU,1612830040
8,Slave Lake,55.2834,-114.769,-16.6,63,1,20.71,CA,1612830041
9,Pitimbu,-7.4706,-34.8086,80.6,83,20,8.05,BR,1612830042
10,Punta Arenas,-53.15,-70.9167,62.6,67,0,18.41,CL,1612830043
11,Bluff,-46.6,168.3333,55.76,91,100,12.48,NZ,1612829777
12,Banda Aceh,5.5577,95.3222,77.68,81,9,10.04,ID,1612829958
13,Port Alfred,-33.5906,26.891,66.0,87,62,6.98,ZA,1612829832
14,Bethel,41.3712,-73.414,21.99,67,1,3.44,US,1612829915
15,Hermanus,-34.4187,19.2345,61.0,92,6,4.81,ZA,1612829580
16,Castro,-24.7911,-50.0119,60.8,91,35,7.61,BR,1612829762
17,Kaitangata,-46.2817,169.8464,62.01,90,100,5.01,NZ,1612829839
18,Thompson,55.7435,-97.8558,-13.0,70,90,10.36,CA,1612829790
19,Portland,45.5234,-122.6762,46.0,56,100,1.01,US,1612830014
20,Saint-Philippe,-21.3585,55.7679,77.0,61,0,6.91,RE,1612829776
21,Bolitoc,15.7395,119.8769,80.1,62,92,8.25,PH,1612830060
22,Rikitea,-23.1203,-134.9692,77.88,69,18,3.44,PF,1612829771
23,Albany,42.6001,-73.9662,19.99,54,70,1.05,US,1612829707
24,Ushuaia,-54.8,-68.3,60.8,63,75,13.8,AR,1612829783
25,Bambous Virieux,-20.3428,57.7575,77.0,88,40,5.75,MU,1612829799
26,Chui,-33.6971,-53.4616,64.69,90,89,4.41,UY,1612830066
27,Atar,20.5169,-13.0499,62.22,30,0,9.17,MR,1612830067
28,Khatanga,71.9667,102.5,-16.58,84,37,11.9,RU,1612829587
29,Atuona,-9.8,-139.0333,79.63,77,85,19.35,PF,1612829858
30,Mataura,-46.1927,168.8643,55.63,96,100,4.83,NZ,1612829581
31,Lebu,-37.6167,-73.65,60.58,91,7,8.48,CL,1612829589
32,Carnarvon,-24.8667,113.6333,78.8,100,40,19.57,AU,1612829644
33,Port Elizabeth,-33.918,25.5701,66.2,82,0,5.75,ZA,1612830074
34,George Town,5.4112,100.3354,77.0,88,40,2.3,MY,1612829683
35,Smithers,54.7804,-127.1743,6.8,56,75,9.22,CA,1612830077
36,Marfino,55.7028,37.3822,3.2,85,0,2.24,RU,1612830079
37,Busselton,-33.65,115.3333,64.0,82,93,1.99,AU,1612829755
38,Puerto Ayora,-0.7393,-90.3518,78.01,95,98,1.01,EC,1612830081
39,Mar del Plata,-38.0023,-57.5575,64.0,67,75,17.27,AR,1612830043
40,Karratha,-20.7377,116.8463,81.66,65,21,13.4,AU,1612830084
41,Bengkulu,-3.8004,102.2655,76.71,75,78,4.72,ID,1612829626
42,Namatanai,-3.6667,152.4333,85.37,71,75,6.53,PG,1612829938
43,Dikson,73.5069,80.5464,-30.98,85,80,13.69,RU,1612830087
44,Tiksi,71.6872,128.8694,-27.36,86,95,3.91,RU,1612829583
45,Niquero,20.0431,-77.5828,75.29,78,10,5.77,CU,1612830009
46,Manono,-7.3,27.4167,70.5,93,100,1.72,CD,1612830091
47,Oddur,4.1213,43.8894,69.03,75,69,17.05,SO,1612830092
48,Bredasdorp,-34.5322,20.0403,60.8,94,6,2.3,ZA,1612830007
49,Garden City,42.3256,-83.331,17.6,79,90,5.75,US,1612830095
50,Hilo,19.7297,-155.09,80.6,61,90,10.36,US,1612829585
51,Huarmey,-10.0681,-78.1522,72.66,77,76,9.82,PE,1612830098
52,Pevek,69.7008,170.3133,-11.02,79,98,1.5,RU,1612829864
53,Wągrowiec,52.8084,17.1996,17.01,67,100,4.0,PL,1612830102
54,Lagoa,39.05,-27.9833,59.49,76,100,29.21,PT,1612829916
55,Kilindoni,-7.9139,39.6668,82.09,82,100,16.98,TZ,1612830104
56,Olinda,-8.0089,-34.8553,78.8,73,40,8.05,BR,1612830105
57,Vinh,18.6667,105.6667,64.06,91,100,7.34,VN,1612829842
58,Vila Velha,-20.3297,-40.2925,78.01,100,75,9.22,BR,1612829855
59,Vaini,-21.2,-175.2,80.6,89,90,13.8,TO,1612829618
60,Fagernes,60.9858,9.2324,8.17,84,100,4.16,NO,1612830110
61,Loukísia,38.4833,23.45,59.0,47,20,11.5,GR,1612830111
62,Province of Mantua,45.1667,10.7833,46.99,93,67,5.01,IT,1612830112
63,Marzuq,14.4,46.4667,61.39,69,90,10.36,YE,1612830114
64,Bima,-8.4667,118.7167,80.19,82,97,0.89,ID,1612830115
65,Hithadhoo,-0.6,73.0833,82.54,77,90,10.67,MV,1612829841
66,Meulaboh,4.1363,96.1285,75.92,87,4,3.85,ID,1612830117
67,Kapaa,22.0752,-159.319,71.6,73,90,12.66,US,1612829728
68,Hong Kong,22.2855,114.1577,66.0,76,98,1.99,HK,1612829686
69,Saint George,37.1041,-113.5841,64.4,15,1,2.75,US,1612830121
70,Cape Town,-33.9258,18.4232,69.01,83,0,19.57,ZA,1612829827
71,Nelson Bay,-32.7167,152.15,77.0,60,75,17.27,AU,1612830123
72,Tuktoyaktuk,69.4541,-133.0374,-40.0,67,1,2.3,CA,1612829850
73,Lavrentiya,65.5833,-171.0,-3.28,83,100,11.05,RU,1612830125
74,Butaritari,3.0707,172.7902,82.04,83,68,20.54,KI,1612829824
75,Polis,35.0367,32.4264,55.0,66,20,6.91,CY,1612830128
76,Dudinka,69.4058,86.1778,-4.34,91,97,8.16,RU,1612830052
77,Tūkrah,32.5341,20.5791,57.7,80,1,7.2,LY,1612830130
78,Katsuura,35.1333,140.3,43.0,21,13,3.0,JP,1612829800
79,Lata,40.1629,-8.3327,55.0,94,87,1.99,PT,1612830133
80,New Norfolk,-42.7826,147.0587,60.01,59,71,1.01,AU,1612830134
81,Cabo San Lucas,22.8909,-109.9124,73.0,73,20,10.36,MX,1612829916
82,Coquimbo,-29.9533,-71.3436,62.6,77,0,8.05,CL,1612830139
83,Saskylakh,71.9167,114.0833,-30.19,84,16,2.26,RU,1612829955
84,Pangnirtung,66.1451,-65.7125,15.8,53,1,3.06,CA,1612830143
85,Palmas de Monte Alto,-14.2672,-43.1619,70.95,88,93,1.45,BR,1612830144
86,Bradford,53.7939,-1.7521,30.0,49,99,12.64,GB,1612830006
87,Buchanan,5.8808,-10.0467,77.0,94,20,7.45,LR,1612830146
88,Río Gallegos,-51.6226,-69.2181,71.6,33,0,8.05,AR,1612830148
89,Buala,-8.145,159.5921,85.21,73,99,11.36,SB,1612830030
90,Airai,-8.9266,125.4092,65.17,100,100,3.8,TL,1612829837
91,A Coruña,43.3713,-8.396,52.0,81,20,13.8,ES,1612829974
92,Nouadhibou,20.931,-17.0347,62.6,77,0,17.27,MR,1612830152
93,Guerrero Negro,27.9769,-114.0611,65.62,51,8,12.55,MX,1612830153
94,Takoradze,4.8845,-1.7554,79.59,87,9,9.86,GH,1612830154
95,Ribeira Grande,38.5167,-28.7,60.42,78,100,15.73,PT,1612830156
96,Tasiilaq,65.6145,-37.6368,24.8,50,90,6.91,GL,1612829750
97,Cidreira,-30.1811,-50.2056,73.2,76,0,12.77,BR,1612829782
98,Barrow,71.2906,-156.7887,-29.2,84,1,10.36,US,1612829757
99,Yellowknife,62.456,-114.3525,-27.4,68,90,20.71,CA,1612829812
100,Quatre Cocos,-20.2078,57.7625,77.0,88,40,5.75,MU,1612830162
101,Nekhayevskiy,50.4106,41.7561,6.01,75,99,9.89,RU,1612830163
102,Mackay,-21.15,149.2,84.2,79,90,11.5,AU,1612830164
103,Vuktyl,63.8567,57.3094,-14.24,89,100,5.79,RU,1612830165
104,Bathsheba,13.2167,-59.5167,78.8,61,20,18.41,BB,1612829889
105,Jalu,29.0331,21.5482,57.47,51,100,10.04,LY,1612830168
106,Morant Bay,17.8815,-76.4093,80.6,78,40,21.85,JM,1612830170
107,Alugan,12.2188,125.4808,76.32,89,100,18.95,PH,1612830171
108,Kaeo,-35.1,173.7833,73.0,79,98,10.0,NZ,1612829906
109,Jumla,29.2747,82.1838,39.51,52,0,5.1,NP,1612830176
110,Esperance,-33.8667,121.9,66.2,72,75,10.36,AU,1612829751
111,East London,-33.0153,27.9116,67.86,76,34,4.54,ZA,1612829995
112,Raton,36.9034,-104.4391,53.6,9,1,25.32,US,1612830129
113,Shihezi,44.3,86.0333,26.33,90,85,3.47,CN,1612830183
114,Ipixuna,-1.7625,-48.8043,80.6,83,0,8.05,BR,1612830184
115,Hobart,-42.8794,147.3294,59.0,44,75,12.66,AU,1612829704
116,Port Macquarie,-31.4333,152.9167,75.99,88,90,6.91,AU,1612830188
117,Porosozero,62.7191,32.727,-0.17,93,27,6.17,RU,1612830189
118,Arraial do Cabo,-22.9661,-42.0278,73.4,94,75,3.87,BR,1612830191
119,Byron Bay,-28.65,153.6167,78.8,50,26,17.27,AU,1612829963
120,Leningradskiy,69.3833,178.4167,-21.71,85,77,11.27,RU,1612830193
121,Nome,64.5011,-165.4064,10.4,44,90,9.22,US,1612830194
122,Sangar,63.9242,127.4739,-22.81,84,44,2.33,RU,1612830196
123,Ambilobe,-13.2,49.05,74.79,92,99,1.97,MG,1612830199
124,Saint Paul Harbor,57.79,-152.4072,33.8,64,20,13.8,US,1612829933
125,Cherskiy,68.75,161.3,7.25,77,94,5.77,RU,1612830082
126,Saryozek,44.3583,77.9753,29.82,98,100,6.53,KZ,1612830202
127,Makkah al Mukarramah,21.4267,39.8261,72.34,35,0,4.47,SA,1612830047
128,Chokurdakh,70.6333,147.9167,-13.07,85,0,10.18,RU,1612829877
129,Manaus,-3.1019,-60.025,78.8,89,40,2.3,BR,1612829984
130,Strání,48.9022,17.7067,28.0,96,31,1.97,CZ,1612830207
131,Mokhsogollokh,61.4681,128.9203,-14.17,87,100,3.91,RU,1612830207
132,Ruska Poliana,49.417,31.9201,25.43,98,100,18.5,UA,1612830211
133,Kontagora,10.3999,5.4695,72.0,18,0,6.02,NG,1612830212
134,Kahului,20.8947,-156.47,80.6,54,20,25.32,US,1612829659
135,Beringovskiy,63.05,179.3167,1.63,93,100,7.56,RU,1612830214
136,Saint-François,46.4154,3.9054,33.8,93,90,9.22,FR,1612830215
137,Macaúbas,-13.0194,-42.6986,68.58,88,93,1.7,BR,1612830217
138,Ziarat,30.3823,67.7282,40.5,50,62,5.99,PK,1612830218
139,Sitka,57.0531,-135.33,23.0,58,90,11.5,US,1612830220
140,Klaksvík,62.2266,-6.589,32.0,80,20,5.75,FO,1612829796
141,Isiro,2.7739,27.616,65.19,37,93,1.5,CD,1612830222
142,Severo-Kuril'sk,50.6789,156.125,22.68,88,25,1.63,RU,1612830204
143,Kerrville,30.0474,-99.1403,66.99,68,1,5.75,US,1612830225
144,Wum,6.3833,10.0667,67.53,27,83,2.8,CM,1612830226
145,Savannah Bight,16.45,-85.85,80.6,74,20,9.22,HN,1612830227
146,Makakilo City,21.3469,-158.0858,80.6,47,1,16.11,US,1612830229
147,Atbasar,51.8,68.3333,-7.2,89,100,19.71,KZ,1612830230
148,Vestmannaeyjar,63.4427,-20.2734,35.33,83,68,12.71,IS,1612830232
149,Lorengau,-2.0226,147.2712,85.73,68,21,6.38,PG,1612830234
150,Kruisfontein,-34.0033,24.7314,63.0,87,7,1.01,ZA,1612830090
151,Port Hawkesbury,45.6169,-61.3485,27.0,86,90,27.63,CA,1612830236
152,Chernyshevskiy,63.0128,112.4714,-12.12,91,99,2.73,RU,1612830237
153,Natchitoches,31.7668,-93.1335,59.0,82,90,4.61,US,1612830238
154,Erbil,36.1926,44.0106,46.4,87,64,3.65,IQ,1612830240
155,Bilibino,68.0546,166.4372,4.98,82,100,7.76,RU,1612830243
156,Faya,18.3851,42.4509,48.2,87,40,5.75,SA,1612830017
157,Shingū,33.7333,135.9833,41.0,52,20,16.11,JP,1612830246
158,Coxim,-18.5067,-54.76,78.53,56,0,9.22,BR,1612830238
159,Ajdabiya,30.7554,20.2263,57.43,66,0,3.89,LY,1612830248
160,Trairi,-3.2778,-39.2689,79.11,86,41,7.67,BR,1612829856
161,Izobilnyy,45.3741,41.7121,32.0,93,40,13.42,RU,1612830250
162,Soyo,-6.1349,12.3689,79.86,82,98,5.66,AO,1612830252
163,Clyde River,70.4692,-68.5914,6.8,85,1,21.85,CA,1612830253
164,Chapais,49.7834,-74.8492,-4.0,71,1,2.3,CA,1612830200
165,George Town,5.4112,100.3354,80.01,88,20,3.44,MY,1612830255
166,Cockburn Town,21.4612,-71.1419,77.0,78,40,10.36,TC,1612830256
167,Raudeberg,61.9875,5.1352,21.99,56,0,7.92,NO,1612829841
168,Tessalit,20.1986,1.0114,62.38,24,53,9.33,ML,1612830259
169,Acapulco de Juárez,16.8634,-99.8901,82.4,69,40,10.36,MX,1612830260
170,Barra de Tecoanapa,16.5167,-98.75,81.37,70,0,7.85,MX,1612830261
171,Bubaque,11.2833,-15.8333,77.7,62,0,12.33,GW,1612829953
172,Vestmanna,62.1564,-7.1664,32.0,86,20,3.44,FO,1612830174
173,Fortuna,40.5982,-124.1573,51.01,87,1,8.05,US,1612829820
174,Ugoofaaru,5.6667,73.0,81.01,68,18,6.11,MV,1612829988
175,Mirny,62.5353,113.9611,-10.75,90,100,4.14,RU,1612830270
176,Yichun,47.7,128.9,-6.56,91,50,0.89,CN,1612830271
177,Salalah,17.0151,54.0924,75.2,46,0,8.05,OM,1612829924
178,Moche,-8.1711,-79.0092,69.8,88,96,14.97,PE,1612830273
179,Djibouti,11.5,42.5,77.0,78,40,4.21,DJ,1612830274
180,Havelock,34.8791,-76.9013,43.0,81,1,9.22,US,1612830276
181,Champerico,14.3,-91.9167,84.2,70,40,6.91,GT,1612830277
182,Qaanaaq,77.484,-69.3632,20.75,79,97,6.64,GL,1612829624
183,Sydney,-33.8679,151.2073,73.0,56,75,11.5,AU,1612830060
184,Norman Wells,65.282,-126.8329,-29.2,68,1,4.61,CA,1612830282
185,Patrocínio,-18.9439,-46.9925,69.8,68,20,4.61,BR,1612830283
186,Barabai,-2.5833,115.3833,77.38,89,100,0.49,ID,1612830084
187,Hurghada,27.2574,33.8129,60.8,33,0,2.3,EG,1612830148
188,Torrelavega,43.3494,-4.0479,50.0,85,66,1.99,ES,1612830032
189,Pisco,-13.7,-76.2167,73.4,78,0,17.27,PE,1612830063
190,Kingsville,27.5159,-97.8561,75.2,83,75,12.66,US,1612830289
191,Flinders,-34.5833,150.8552,69.01,80,94,4.0,AU,1612830290
192,Upernavik,72.7868,-56.1549,16.86,76,0,4.21,GL,1612829930
193,Posse,-14.0931,-46.3694,67.6,91,41,3.38,BR,1612830293
194,Diego de Almagro,-26.3667,-70.05,64.27,50,0,3.29,CL,1612830088
195,Balabac,7.9868,117.0645,80.49,81,100,13.58,PH,1612830297
196,Camargo,27.6667,-105.1667,74.23,16,0,8.01,MX,1612830298
197,Namwala,-15.7504,26.4384,66.87,97,100,6.46,ZM,1612830299
198,Longyearbyen,78.2186,15.6401,14.0,41,0,5.75,SJ,1612829832
199,Bull Savanna,17.8868,-77.5902,74.66,83,52,9.73,JM,1612830302
200,Livny,52.4253,37.6069,0.37,91,59,9.69,RU,1612830304
201,Saraland,30.8207,-88.0706,57.99,83,96,4.43,US,1612830305
202,Prainha,-1.8,-53.48,80.31,75,100,7.85,BR,1612830306
203,Broome,42.2506,-75.833,17.6,45,1,3.44,US,1612830308
204,Tarpon Springs,28.1461,-82.7568,73.0,78,56,7.7,US,1612830309
205,Caldwell,43.6629,-116.6874,42.8,36,1,5.75,US,1612830310
206,Nanortalik,60.1432,-45.2371,29.93,91,93,11.32,GL,1612830062
207,Magdagachi,53.45,125.8,-3.42,90,22,4.72,RU,1612830312
208,Stepnyak,52.8339,70.7803,-8.03,87,100,20.31,KZ,1612830314
209,Maputo,-25.9653,32.5892,79.0,87,48,3.0,MZ,1612830315
210,Onega,63.9061,38.1404,-2.78,92,97,5.55,RU,1612829830
211,Iqaluit,63.7506,-68.5145,21.2,86,90,2.3,CA,1612830059
212,Cody,44.5263,-109.0565,-2.99,77,90,16.11,US,1612830318
213,Aksay,47.26,39.87,19.4,93,75,26.84,RU,1612830319
214,Três Corações,-21.6969,-45.2533,62.38,92,67,8.25,BR,1612830070
215,Luang Prabang,19.8856,102.1347,59.0,94,90,2.68,LA,1612830307
216,Inndyr,67.0338,14.0276,33.8,69,75,9.22,NO,1612830323
217,Vilhena,-12.7406,-60.1458,78.8,78,20,4.61,BR,1612830324
218,Ngunguru,-35.6167,174.5,73.0,79,99,10.0,NZ,1612830326
219,Zhezkazgan,47.8043,67.7144,-10.12,89,14,10.71,KZ,1612829699
220,Tutayev,57.8853,39.5406,-2.2,78,0,4.47,RU,1612830329
221,Vila Franca do Campo,37.7167,-25.4333,59.0,94,20,18.41,PT,1612830275
222,Souillac,-20.5167,57.5167,77.0,88,40,5.75,MU,1612830185
223,Pemangkat,1.1667,108.9667,76.71,89,86,7.74,ID,1612830220
224,Filoti,37.05,25.5,60.8,72,2,11.5,GR,1612830334
225,Road Town,18.4167,-64.6167,78.01,69,20,13.8,VG,1612830335
226,Avarua,-21.2078,-159.775,86.0,70,20,8.05,CK,1612829612
227,Vardø,70.3705,31.1107,23.0,74,40,19.57,NO,1612830337
228,Kapoeta,4.7717,33.5903,79.68,42,54,10.18,SS,1612830339
229,Camacupa,-12.0167,17.4833,62.46,96,96,3.04,AO,1612830340
230,Khailār,25.35,78.5333,54.48,50,0,2.93,IN,1612830342
231,Thunder Bay,48.4001,-89.3168,-7.6,54,1,5.75,CA,1612830220
232,Pimentel,-6.8367,-79.9342,73.4,73,0,18.41,PE,1612830330
233,Itupiranga,-5.1347,-49.3267,75.43,92,99,2.71,BR,1612830346
234,Alice Springs,-23.7,133.8833,91.4,40,0,14.97,AU,1612830347
235,Isangel,-19.55,169.2667,86.0,66,20,5.75,VU,1612830341
236,Marsá Maţrūḩ,31.3525,27.2453,60.8,39,0,13.8,EG,1612830350
237,Codrington,-38.2667,141.9667,63.81,59,16,11.52,AU,1612830311
238,Havre-St-Pierre,50.2334,-63.5986,23.0,68,90,13.8,CA,1612830084
239,Panzhihua,26.5851,101.7128,47.73,79,98,1.36,CN,1612830353
240,Margate,51.3813,1.3862,30.99,72,100,4.0,GB,1612830046
241,Baykit,61.67,96.37,23.32,95,100,12.28,RU,1612830356
242,Pontes e Lacerda,-15.2261,-59.3353,72.86,62,83,2.21,BR,1612830244
243,Kharp,66.8014,65.8081,-20.63,82,73,2.84,RU,1612830358
244,Yatou,37.15,122.3833,32.14,84,0,7.7,CN,1612830359
245,Torbay,47.6666,-52.7314,32.0,100,90,29.93,CA,1612829590
246,Wanaka,-44.7,169.15,60.01,85,99,1.01,NZ,1612830362
247,Berlevåg,70.8578,29.0864,23.07,91,100,21.41,NO,1612830363
248,Husavik,66.0449,-17.3389,28.4,93,90,4.61,IS,1612829876
249,Monkey Bay,-14.0728,34.9201,77.61,79,100,9.48,MW,1612830365
250,Boyolangu,-8.1181,111.8935,76.1,87,99,6.76,ID,1612830367
251,Ambon City,-3.6954,128.1814,87.8,66,20,3.44,ID,1612829895
252,Bilma,18.6853,12.9164,66.94,22,75,7.38,NE,1612830369
253,Vila,42.0304,-8.1588,44.01,94,100,10.0,PT,1612830370
254,Ancud,-41.8697,-73.8203,69.8,52,0,4.61,CL,1612829897
255,Biltine,14.5333,20.9167,65.52,23,44,12.66,TD,1612830373
256,Adré,13.4667,22.2,59.34,28,16,11.65,TD,1612830193
257,Mindelo,16.8901,-24.9804,69.8,64,40,23.02,CV,1612830375
258,Saint-Ambroise,48.5501,-71.3324,8.6,61,62,5.75,CA,1612830230
259,Saint Anthony,45.0205,-93.218,-0.4,55,1,5.75,US,1612830377
260,Acaraú,-2.8856,-40.12,79.75,85,89,11.21,BR,1612830258
261,Sola,-13.8833,167.55,89.6,62,75,5.75,VU,1612830342
262,Paramonga,-10.6667,-77.8333,71.49,82,95,7.78,PE,1612830381
263,Kavaratti,10.5669,72.642,81.16,64,0,7.18,IN,1612829865
264,Koboko,3.4136,30.9599,66.51,30,92,1.07,UG,1612830383
265,Anadyr,64.75,177.4833,8.6,72,75,15.66,RU,1612830384
266,Tortosa,40.8125,0.5216,54.0,60,10,1.99,ES,1612830262
267,Masindi,1.6744,31.715,67.66,44,80,1.95,UG,1612830387
268,Wakkanai,45.4094,141.6739,23.0,86,90,24.16,JP,1612830388
269,Halmstad,56.6745,12.8568,24.01,80,90,13.8,SE,1612830389
270,Talnakh,69.4865,88.3972,0.37,89,100,8.03,RU,1612829995
271,Saint-Joseph,-21.3667,55.6167,77.0,61,0,6.91,RE,1612830391
272,Kavieng,-2.5744,150.7967,84.9,72,74,8.3,PG,1612830393
273,Pulandian,39.3953,121.9669,33.8,69,0,6.71,CN,1612830394
274,Manzhouli,49.6,117.4333,1.78,91,0,4.32,CN,1612830395
275,Bergen,60.392,5.328,23.0,73,0,2.3,NO,1612830396
276,Santiago,-33.4569,-70.6483,75.2,46,0,8.05,CL,1612830119
277,Mossamedes,-15.1961,12.1522,72.45,79,96,5.26,AO,1612830399
278,Kharan,28.5833,65.4167,59.88,29,74,8.77,PK,1612830400
279,Leshan,29.5623,103.7639,50.07,74,100,1.43,CN,1612830402
280,Yelniki,54.6207,43.876,-11.15,90,2,5.53,RU,1612830404
281,Hanzhong,33.0728,107.0303,41.4,65,18,1.61,CN,1612830405
282,Swan Hill,-35.3378,143.5544,73.94,41,7,8.3,AU,1612830406
283,Paraíso,9.8383,-83.8656,69.8,68,20,11.5,CR,1612830407
284,São Filipe,14.8961,-24.4956,70.14,77,100,11.16,CV,1612830408
285,Bud,39.447,-86.1758,24.01,92,99,3.11,US,1612829939
286,Tuatapere,-46.1333,167.6833,54.03,93,100,9.62,NZ,1612829600
287,Hirara,24.8,125.2833,66.2,59,75,14.97,JP,1612830412
288,Shīeli,44.1667,66.75,27.75,88,100,4.76,KZ,1612830413
289,Brae,60.3964,-1.353,31.19,87,32,7.85,GB,1612830414
290,Mwinilunga,-11.7358,24.4293,64.31,94,100,6.44,ZM,1612830415
291,Kamenka,51.3223,42.7678,-2.0,83,36,5.59,RU,1612830418
292,Sabalgarh,26.25,77.4,56.82,46,0,3.71,IN,1612830419
293,Amapá,1.0,-52.0,72.88,97,100,3.6,BR,1612830420
294,Abonnema,4.7084,6.7931,80.82,81,18,6.62,NG,1612830421
295,Lagos,6.5833,3.75,80.15,86,42,4.29,NG,1612830398
296,Ushtobe,45.2514,77.9838,28.31,98,100,9.84,KZ,1612830251
297,Nalbari,26.4456,91.4354,51.8,82,20,5.64,IN,1612830425
298,Huanuni,-18.2667,-66.85,45.03,81,99,9.15,BO,1612830426
299,Suntar,62.1444,117.6319,-10.61,90,87,4.34,RU,1612830428
300,Port Keats,-14.25,129.55,76.33,88,100,5.55,AU,1612830431
301,Selfoss,63.9331,-20.9971,32.0,65,67,7.0,IS,1612830433
302,Kochi,9.9399,76.2602,66.2,88,37,2.3,IN,1612830434
303,Lotoshino,56.2267,35.6414,-2.11,92,78,3.4,RU,1612830435
304,Plettenberg Bay,-34.0527,23.3716,65.35,77,0,3.0,ZA,1612830339
305,Camacha,33.0833,-16.3333,59.0,88,40,6.91,PT,1612830438
306,Khani,41.9563,42.9566,53.6,66,0,8.05,GE,1612830439
307,Lompoc,34.6391,-120.4579,55.99,76,1,11.5,US,1612830377
308,Keflavik,64.0049,-22.5624,32.0,80,0,9.22,IS,1612830441
309,Yaan,7.3833,8.5667,79.59,19,94,4.36,NG,1612830444
310,Narsaq,60.9167,-46.05,39.2,28,75,37.98,GL,1612829909
311,Grand Gaube,-20.0064,57.6608,75.0,84,3,1.99,MU,1612830447
312,Fairbanks,64.8378,-147.7164,-5.8,49,1,14.97,US,1612830448
313,Erciş,39.0287,43.3586,28.4,86,40,3.44,TR,1612830449
314,Ust'-Koksa,50.2696,85.6108,32.02,95,100,7.52,RU,1612830451
315,Umm Kaddadah,13.6017,26.6876,62.46,30,55,14.38,SD,1612830452
316,Southbridge,42.0751,-72.0334,17.01,43,19,2.57,US,1612830273
